SCHL_ID,CASEID,STU_WT,age,Q1,exercise,pcgame,tv,fastfood,bmi,a,b,c,d,e,f,g,h,green_have,male
10601,4387,5636.96,15,2,5,1,3,2,28.6,5,5,5,4,5,5,5,5,0,0
10601,4676,3585.57,14,2,4,1,4,3,22.27,2,4,3,4,3,4,3,5,0,0
10601,4716,639.9,16,1,5,1,2,2,33.87,5,4,4,4,2,2,5,5,0,1
10601,4879,5636.96,15,2,3,2,2,2,20.09,3,3,5,5,5,5,5,5,0,0
10601,5881,3585.57,15,2,4,1,3,4,16.11,4,3,5,4,2,2,4,5,0,0
10601,6635,5636.96,15,2,5,1,2,3,22.1,4,4,5,5,4,4,5,4,0,0
10601,6737,3585.57,14,1,4,2,6,2,21.1,2,3,-9,4,2,2,1,5,0,1
10601,7755,639.9,15,1,3,5,3,2,21.09,4,3,5,5,5,4,3,5,0,1
10601,7761,3585.57,15,1,6,2,2,3,22.84,4,4,4,5,5,4,5,4,0,1
10601,8564,3585.57,14,1,5,4,3,5,34.63,4,5,5,5,4,5,3,5,0,1
10601,8657,5636.96,15,2,2,2,2,2,19.53,4,5,4,5,5,4,5,5,0,0
10601,8715,5636.96,15,2,4,2,2,5,20.09,2,5,5,1,2,2,2,5,0,0
10601,8764,3585.57,14,1,6,1,2,2,22.19,5,4,5,4,5,3,3,3,0,1
10601,9130,3585.57,14,1,5,2,-9,2,17.32,2,1,5,5,3,3,5,3,0,1
10601,9515,3585.57,15,1,3,3,4,4,14,4,4,5,5,1,2,3,5,0,1
10601,10281,5636.96,15,1,5,3,3,3,17.75,3,3,3,3,3,4,4,5,0,1
10601,10392,5636.96,15,1,2,1,2,4,20.04,2,5,1,4,4,3,4,4,0,1
10601,10720,3585.57,14,2,5,5,4,2,24.08,5,3,1,3,1,4,5,4,0,0
10601,11312,3585.57,14,1,4,2,4,5,19.72,3,1,2,2,2,5,5,2,0,1
10601,11885,5636.96,15,2,3,1,2,4,18.84,1,3,1,4,2,4,4,3,0,0
10601,11964,3585.57,14,2,2,1,3,4,20.32,5,4,4,4,2,3,5,2,0,0
10901,80,1195.6,13,1,5,4,3,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,1
10901,602,1277.38,-9,2,4,2,4,2,-9,4,2,5,5,2,5,5,2,0,0
